"denoise_method","taxonomy_method","total_reads_qc","total_unique_asvs","pct_reads_family","pct_reads_genus","pct_reads_species","asvs_family","asvs_genus","asvs_species"
"dada2","BLAST",11886748,2790,82.8,66.9,62.7,1571,1151,911
"dada2","MAPseq",11819822,2786,90.6,71,63.2,1755,1267,1003
"dada2","MetaBEAT",12176359,2791,0,0,0,0,0,0
"dada2","RDP",11823567,2759,77.2,68.8,64.9,1621,1045,871
"dada2","VSEARCH",11718493,2777,96.1,90.3,82.9,1890,1690,1409
"metabeat","BLAST",6393784,7694,77.7,58.2,56.4,3881,3083,3056
"metabeat","MAPseq",6355954,7693,88.8,64.1,58,4349,3214,2974
"metabeat","MetaBEAT",6246118,7696,37.5,32.8,32.7,2293,1180,1174
"metabeat","RDP",6365350,7541,71.9,61.2,58.8,3741,2987,2772
"metabeat","VSEARCH",6329640,7672,94.3,87.9,82.4,4665,4509,4281
"vsearch","BLAST",11515894,2428,83.3,67.5,63.1,1487,1084,827
"vsearch","MAPseq",11454103,2406,90.9,71.5,63.7,1662,1193,921
"vsearch","MetaBEAT",11797268,2617,0,0,0,0,0,0
"vsearch","RDP",11449239,2398,83.6,74.8,70.9,1537,952,765
"vsearch","VSEARCH",11355810,2338,96.4,90.7,83.1,1828,1627,1310
