"denoise_method","taxonomy_method","total_reads_qc","total_unique_asvs","pct_reads_family","pct_reads_genus","pct_reads_species","asvs_family","asvs_genus","asvs_species"
"dada2","BLAST",10359404,2791,85.8,70.3,67.2,375,286,280
"dada2","MAPseq",10359404,2791,93.2,73.8,66.6,440,310,273
"dada2","MetaBEAT",10359404,2791,0,0,0,0,0,0
"dada2","RDP",10359404,2791,78.9,73.2,70,348,287,273
"dada2","VSEARCH",10359404,2791,97.7,92.6,86.3,501,467,419
"metabeat","BLAST",6416706,7698,77.8,58.2,56.4,3917,3121,3092
"metabeat","MAPseq",6416706,7698,88.7,63.9,57.7,4455,3312,2999
"metabeat","MetaBEAT",6416706,7698,39.2,33.7,33.3,2519,1283,1268
"metabeat","RDP",6416706,7698,71.7,61.1,58.7,3786,3037,2813
"metabeat","VSEARCH",6416706,7698,94.4,88,82.1,4809,4654,4357
"vsearch","BLAST",10019040,1299,86.4,71,67.8,168,146,140
"vsearch","MAPseq",10019040,1299,93.6,74.5,67.2,217,160,135
"vsearch","MetaBEAT",10019040,1299,0,0,0,0,0,0
"vsearch","RDP",10019040,1299,86.1,80,76.8,150,128,115
"vsearch","VSEARCH",10019040,1299,98,93,86.7,303,289,225
