"","level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned","point_type"
"1","Species","taxa","dada2","BLAST","marchamley",10,3,30,"Highest"
"2","Species","taxa","metabeat","BLAST","marchamley",12,3,25,"Highest"
"3","Species","taxa","vsearch","BLAST","marchamley",11,3,27.27,"Highest"
"4","Species","taxa","dada2","MAPseq","marchamley",12,3,25,"Middle"
"5","Species","taxa","metabeat","MAPseq","marchamley",12,3,25,"Highest"
"6","Species","taxa","vsearch","MAPseq","marchamley",12,3,25,"Middle"
"7","Species","taxa","dada2","RDP","marchamley",15,3,20,"Middle"
"8","Species","taxa","metabeat","RDP","marchamley",15,3,20,"Middle"
"9","Species","taxa","vsearch","RDP","marchamley",15,3,20,"Middle"
"10","Species","taxa","dada2","VSEARCH","marchamley",23,4,17.39,"Lowest"
"11","Species","taxa","metabeat","VSEARCH","marchamley",23,4,17.39,"Lowest"
"12","Species","taxa","vsearch","VSEARCH","marchamley",23,4,17.39,"Lowest"
"13","Species","taxa","dada2","BLAST","ringtrial_sean",14,2,14.29,"Middle"
"14","Species","taxa","metabeat","BLAST","ringtrial_sean",16,2,12.5,"Lowest"
"15","Species","taxa","vsearch","BLAST","ringtrial_sean",14,2,14.29,"Middle"
"16","Species","taxa","dada2","MAPseq","ringtrial_sean",15,2,13.33,"Lowest"
"17","Species","taxa","metabeat","MAPseq","ringtrial_sean",16,2,12.5,"Lowest"
"18","Species","taxa","vsearch","MAPseq","ringtrial_sean",15,2,13.33,"Lowest"
"19","Species","taxa","dada2","RDP","ringtrial_sean",17,3,17.65,"Highest"
"20","Species","taxa","metabeat","RDP","ringtrial_sean",17,3,17.65,"Highest"
"21","Species","taxa","vsearch","RDP","ringtrial_sean",17,3,17.65,"Highest"
"22","Species","taxa","dada2","VSEARCH","ringtrial_sean",21,3,14.29,"Middle"
"23","Species","taxa","metabeat","VSEARCH","ringtrial_sean",20,3,15,"Middle"
"24","Species","taxa","vsearch","VSEARCH","ringtrial_sean",20,3,15,"Middle"
"25","Species","taxa","dada2","BLAST","windermere_2017",21,3,14.29,"Middle"
"26","Species","taxa","metabeat","BLAST","windermere_2017",24,3,12.5,"Lowest"
"27","Species","taxa","vsearch","BLAST","windermere_2017",21,3,14.29,"Middle"
"28","Species","taxa","dada2","MAPseq","windermere_2017",22,3,13.64,"Middle"
"29","Species","taxa","metabeat","MAPseq","windermere_2017",24,3,12.5,"Lowest"
"30","Species","taxa","vsearch","MAPseq","windermere_2017",22,3,13.64,"Middle"
"31","Species","taxa","dada2","RDP","windermere_2017",26,4,15.38,"Highest"
"32","Species","taxa","metabeat","RDP","windermere_2017",25,4,16,"Highest"
"33","Species","taxa","vsearch","RDP","windermere_2017",25,4,16,"Highest"
"34","Species","taxa","dada2","VSEARCH","windermere_2017",38,5,13.16,"Lowest"
"35","Species","taxa","metabeat","VSEARCH","windermere_2017",38,5,13.16,"Middle"
"36","Species","taxa","vsearch","VSEARCH","windermere_2017",37,4,10.81,"Lowest"
"37","Genus","taxa","dada2","BLAST","marchamley",12,3,25,"Highest"
"38","Genus","taxa","metabeat","BLAST","marchamley",15,3,20,"Middle"
"39","Genus","taxa","vsearch","BLAST","marchamley",13,3,23.08,"Highest"
"40","Genus","taxa","dada2","MAPseq","marchamley",14,3,21.43,"Middle"
"41","Genus","taxa","metabeat","MAPseq","marchamley",14,3,21.43,"Highest"
"42","Genus","taxa","vsearch","MAPseq","marchamley",14,3,21.43,"Middle"
"43","Genus","taxa","dada2","RDP","marchamley",17,3,17.65,"Middle"
"44","Genus","taxa","metabeat","RDP","marchamley",17,3,17.65,"Middle"
"45","Genus","taxa","vsearch","RDP","marchamley",16,3,18.75,"Middle"
"46","Genus","taxa","dada2","VSEARCH","marchamley",24,4,16.67,"Lowest"
"47","Genus","taxa","metabeat","VSEARCH","marchamley",25,4,16,"Lowest"
"48","Genus","taxa","vsearch","VSEARCH","marchamley",24,4,16.67,"Lowest"
"49","Genus","taxa","dada2","BLAST","ringtrial_sean",15,2,13.33,"Middle"
"50","Genus","taxa","metabeat","BLAST","ringtrial_sean",18,2,11.11,"Middle"
"51","Genus","taxa","vsearch","BLAST","ringtrial_sean",15,2,13.33,"Middle"
"52","Genus","taxa","dada2","MAPseq","ringtrial_sean",19,2,10.53,"Lowest"
"53","Genus","taxa","metabeat","MAPseq","ringtrial_sean",19,2,10.53,"Lowest"
"54","Genus","taxa","vsearch","MAPseq","ringtrial_sean",19,2,10.53,"Lowest"
"55","Genus","taxa","dada2","RDP","ringtrial_sean",18,2,11.11,"Middle"
"56","Genus","taxa","metabeat","RDP","ringtrial_sean",18,2,11.11,"Middle"
"57","Genus","taxa","vsearch","RDP","ringtrial_sean",18,2,11.11,"Middle"
"58","Genus","taxa","dada2","VSEARCH","ringtrial_sean",22,3,13.64,"Highest"
"59","Genus","taxa","metabeat","VSEARCH","ringtrial_sean",22,3,13.64,"Highest"
"60","Genus","taxa","vsearch","VSEARCH","ringtrial_sean",22,3,13.64,"Highest"
"61","Genus","taxa","dada2","BLAST","windermere_2017",22,3,13.64,"Highest"
"62","Genus","taxa","metabeat","BLAST","windermere_2017",24,3,12.5,"Highest"
"63","Genus","taxa","vsearch","BLAST","windermere_2017",22,3,13.64,"Highest"
"64","Genus","taxa","dada2","MAPseq","windermere_2017",28,3,10.71,"Lowest"
"65","Genus","taxa","metabeat","MAPseq","windermere_2017",29,3,10.34,"Middle"
"66","Genus","taxa","vsearch","MAPseq","windermere_2017",28,3,10.71,"Middle"
"67","Genus","taxa","dada2","RDP","windermere_2017",26,3,11.54,"Middle"
"68","Genus","taxa","metabeat","RDP","windermere_2017",27,3,11.11,"Middle"
"69","Genus","taxa","vsearch","RDP","windermere_2017",26,3,11.54,"Middle"
"70","Genus","taxa","dada2","VSEARCH","windermere_2017",43,5,11.63,"Middle"
"71","Genus","taxa","metabeat","VSEARCH","windermere_2017",44,4,9.09,"Lowest"
"72","Genus","taxa","vsearch","VSEARCH","windermere_2017",42,4,9.52,"Lowest"
"73","Family","taxa","dada2","BLAST","marchamley",12,2,16.67,"Highest"
"74","Family","taxa","metabeat","BLAST","marchamley",12,2,16.67,"Highest"
"75","Family","taxa","vsearch","BLAST","marchamley",12,2,16.67,"Highest"
"76","Family","taxa","dada2","MAPseq","marchamley",15,2,13.33,"Middle"
"77","Family","taxa","metabeat","MAPseq","marchamley",15,2,13.33,"Middle"
"78","Family","taxa","vsearch","MAPseq","marchamley",15,2,13.33,"Middle"
"79","Family","taxa","dada2","RDP","marchamley",13,2,15.38,"Middle"
"80","Family","taxa","metabeat","RDP","marchamley",13,2,15.38,"Middle"
"81","Family","taxa","vsearch","RDP","marchamley",13,2,15.38,"Middle"
