"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"species","Reads","dada2","BLAST","marchamley",3798138,2805131,73.86
"species","Reads","dada2","BLAST","ringtrial_sean",4623797,1823314,39.43
"species","Reads","dada2","BLAST","windermere_2017",1897654,1272657,67.06
"species","Reads","dada2","MAPseq","marchamley",3785063,2796142,73.87
"species","Reads","dada2","MAPseq","ringtrial_sean",4615800,1809994,39.21
"species","Reads","dada2","MAPseq","windermere_2017",1886452,1317323,69.83
"species","Reads","dada2","MetaBEAT","marchamley",3806274,3806274,100
"species","Reads","dada2","MetaBEAT","ringtrial_sean",4647662,4647662,100
"species","Reads","dada2","MetaBEAT","windermere_2017",1905468,1905468,100
"species","Reads","dada2","RDP","marchamley",3793021,1809343,47.7
"species","Reads","dada2","RDP","ringtrial_sean",4613342,1738778,37.69
"species","Reads","dada2","RDP","windermere_2017",1887643,1103983,58.48
"species","Reads","dada2","VSEARCH","marchamley",3777094,1314433,34.8
"species","Reads","dada2","VSEARCH","ringtrial_sean",4612312,1756116,38.07
"species","Reads","dada2","VSEARCH","windermere_2017",1878163,907754,48.33
"species","Reads","metabeat","BLAST","marchamley",3387415,2515453,74.26
"species","Reads","metabeat","BLAST","ringtrial_sean",1476747,583423,39.51
"species","Reads","metabeat","BLAST","windermere_2017",1529341,1035117,67.68
"species","Reads","metabeat","MAPseq","marchamley",3373036,2505365,74.28
"species","Reads","metabeat","MAPseq","ringtrial_sean",1464594,570413,38.95
"species","Reads","metabeat","MAPseq","windermere_2017",1516279,1019444,67.23
"species","Reads","metabeat","MetaBEAT","marchamley",3339824,2192316,65.64
"species","Reads","metabeat","MetaBEAT","ringtrial_sean",1413317,772901,54.69
"species","Reads","metabeat","MetaBEAT","windermere_2017",1492504,1238356,82.97
"species","Reads","metabeat","RDP","marchamley",3375710,2412960,71.48
"species","Reads","metabeat","RDP","ringtrial_sean",1468396,549441,37.42
"species","Reads","metabeat","RDP","windermere_2017",1521716,1010310,66.39
"species","Reads","metabeat","VSEARCH","marchamley",3349928,1304628,38.94
"species","Reads","metabeat","VSEARCH","ringtrial_sean",1467651,550559,37.51
"species","Reads","metabeat","VSEARCH","windermere_2017",1511841,750871,49.67
"species","Reads","vsearch","BLAST","marchamley",3682486,2709906,73.59
"species","Reads","vsearch","BLAST","ringtrial_sean",4577119,1810797,39.56
"species","Reads","vsearch","BLAST","windermere_2017",1747580,1171139,67.01
"species","Reads","vsearch","MAPseq","marchamley",3670391,2701916,73.61
"species","Reads","vsearch","MAPseq","ringtrial_sean",4569142,1797722,39.34
"species","Reads","vsearch","MAPseq","windermere_2017",1739442,1216656,69.95
"species","Reads","vsearch","MetaBEAT","marchamley",3689842,3689842,100
"species","Reads","vsearch","MetaBEAT","ringtrial_sean",4600269,4600269,100
"species","Reads","vsearch","MetaBEAT","windermere_2017",1753882,1753882,100
"species","Reads","vsearch","RDP","marchamley",3676381,1713328,46.6
"species","Reads","vsearch","RDP","ringtrial_sean",4566561,1727582,37.83
"species","Reads","vsearch","RDP","windermere_2017",1740519,1021177,58.67
"species","Reads","vsearch","VSEARCH","marchamley",3663806,1261590,34.43
"species","Reads","vsearch","VSEARCH","ringtrial_sean",4565843,1744839,38.22
"species","Reads","vsearch","VSEARCH","windermere_2017",1732967,844026,48.7
"species","ASV","dada2","BLAST","marchamley",2783,2726,97.95
"species","ASV","metabeat","BLAST","marchamley",7666,7165,93.46
"species","ASV","vsearch","BLAST","marchamley",1415,1382,97.67
"species","ASV","dada2","MAPseq","marchamley",2763,2706,97.94
"species","ASV","metabeat","MAPseq","marchamley",7548,7059,93.52
"species","ASV","vsearch","MAPseq","marchamley",1402,1370,97.72
"species","ASV","dada2","MetaBEAT","marchamley",2791,2791,100
"species","ASV","metabeat","MetaBEAT","marchamley",7639,7379,96.6
"species","ASV","vsearch","MetaBEAT","marchamley",1423,1423,100
"species","ASV","dada2","RDP","marchamley",2656,2539,95.59
"species","ASV","metabeat","RDP","marchamley",7444,6546,87.94
"species","ASV","vsearch","RDP","marchamley",1360,1327,97.57
"species","ASV","dada2","VSEARCH","marchamley",2733,2568,93.96
"species","ASV","metabeat","VSEARCH","marchamley",7471,5956,79.72
"species","ASV","vsearch","VSEARCH","marchamley",1381,1322,95.73
"species","ASV","dada2","BLAST","ringtrial_sean",250,179,71.6
"species","ASV","metabeat","BLAST","ringtrial_sean",1577,1108,70.26
"species","ASV","vsearch","BLAST","ringtrial_sean",155,124,80
"species","ASV","dada2","MAPseq","ringtrial_sean",239,167,69.87
"species","ASV","metabeat","MAPseq","ringtrial_sean",1454,999,68.71
"species","ASV","vsearch","MAPseq","ringtrial_sean",138,109,78.99
"species","ASV","dada2","MetaBEAT","ringtrial_sean",275,275,100
"species","ASV","metabeat","MetaBEAT","ringtrial_sean",1524,1269,83.27
"species","ASV","vsearch","MetaBEAT","ringtrial_sean",180,180,100
"species","ASV","dada2","RDP","ringtrial_sean",236,163,69.07
"species","ASV","metabeat","RDP","ringtrial_sean",1244,785,63.1
"species","ASV","vsearch","RDP","ringtrial_sean",147,115,78.23
"species","ASV","dada2","VSEARCH","ringtrial_sean",232,149,64.22
"species","ASV","metabeat","VSEARCH","ringtrial_sean",1461,960,65.71
"species","ASV","vsearch","VSEARCH","ringtrial_sean",136,96,70.59
"species","ASV","dada2","BLAST","windermere_2017",647,551,85.16
"species","ASV","metabeat","BLAST","windermere_2017",5324,4020,75.51
"species","ASV","vsearch","BLAST","windermere_2017",346,288,83.24
"species","ASV","dada2","MAPseq","windermere_2017",620,529,85.32
"species","ASV","metabeat","MAPseq","windermere_2017",5140,3851,74.92
"species","ASV","vsearch","MAPseq","windermere_2017",333,278,83.48
"species","ASV","dada2","MetaBEAT","windermere_2017",653,653,100
"species","ASV","metabeat","MetaBEAT","windermere_2017",5217,4493,86.12
"species","ASV","vsearch","MetaBEAT","windermere_2017",350,350,100
"species","ASV","dada2","RDP","windermere_2017",608,529,87.01
"species","ASV","metabeat","RDP","windermere_2017",5225,3958,75.75
"species","ASV","vsearch","RDP","windermere_2017",334,286,85.63
"species","ASV","dada2","VSEARCH","windermere_2017",618,465,75.24
"species","ASV","metabeat","VSEARCH","windermere_2017",5113,2618,51.2
"species","ASV","vsearch","VSEARCH","windermere_2017",321,229,71.34
"species","taxa","dada2","BLAST","marchamley",10,3,30
"species","taxa","metabeat","BLAST","marchamley",12,3,25
"species","taxa","vsearch","BLAST","marchamley",11,3,27.27
"species","taxa","dada2","MAPseq","marchamley",12,3,25
"species","taxa","metabeat","MAPseq","marchamley",12,3,25
"species","taxa","vsearch","MAPseq","marchamley",12,3,25
"species","taxa","dada2","MetaBEAT","marchamley",1,1,100
"species","taxa","metabeat","MetaBEAT","marchamley",10,2,20
"species","taxa","vsearch","MetaBEAT","marchamley",1,1,100
"species","taxa","dada2","RDP","marchamley",15,3,20
"species","taxa","metabeat","RDP","marchamley",15,3,20
"species","taxa","vsearch","RDP","marchamley",15,3,20
"species","taxa","dada2","VSEARCH","marchamley",23,4,17.39
"species","taxa","metabeat","VSEARCH","marchamley",23,4,17.39
"species","taxa","vsearch","VSEARCH","marchamley",23,4,17.39
"species","taxa","dada2","BLAST","ringtrial_sean",14,2,14.29
"species","taxa","metabeat","BLAST","ringtrial_sean",16,2,12.5
"species","taxa","vsearch","BLAST","ringtrial_sean",14,2,14.29
"species","taxa","dada2","MAPseq","ringtrial_sean",15,2,13.33
"species","taxa","metabeat","MAPseq","ringtrial_sean",16,2,12.5
"species","taxa","vsearch","MAPseq","ringtrial_sean",15,2,13.33
"species","taxa","dada2","MetaBEAT","ringtrial_sean",1,1,100
"species","taxa","metabeat","MetaBEAT","ringtrial_sean",5,1,20
"species","taxa","vsearch","MetaBEAT","ringtrial_sean",1,1,100
