"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"species","Reads","dada2","BLAST","marchamley",1616320,1587551,98.22
"species","Reads","dada2","BLAST","ringtrial_sean",2358024,498630,21.15
"species","Reads","dada2","BLAST","windermere_2017",594177,437847,73.69
"species","Reads","dada2","MAPseq","marchamley",1787599,1758739,98.39
"species","Reads","dada2","MAPseq","ringtrial_sean",2358411,496939,21.07
"species","Reads","dada2","MAPseq","windermere_2017",595503,433263,72.76
"species","Reads","dada2","RDP","marchamley",1787577,761521,42.6
"species","Reads","dada2","RDP","ringtrial_sean",2358411,486714,20.64
"species","Reads","dada2","RDP","windermere_2017",595503,232620,39.06
"species","Reads","metabeat","BLAST","marchamley",1338647,1313594,98.13
"species","Reads","metabeat","BLAST","ringtrial_sean",868522,192418,22.15
"species","Reads","metabeat","BLAST","windermere_2017",458860,337938,73.65
"species","Reads","metabeat","MAPseq","marchamley",1481432,1457559,98.39
"species","Reads","metabeat","MAPseq","ringtrial_sean",869902,192698,22.15
"species","Reads","metabeat","MAPseq","windermere_2017",460008,334740,72.77
"species","Reads","metabeat","MetaBEAT","marchamley",1336821,150920,11.29
"species","Reads","metabeat","MetaBEAT","ringtrial_sean",720691,53872,7.48
"species","Reads","metabeat","MetaBEAT","windermere_2017",457223,173060,37.85
"species","Reads","metabeat","RDP","marchamley",1357488,520532,38.35
"species","Reads","metabeat","RDP","ringtrial_sean",869199,188599,21.7
"species","Reads","metabeat","RDP","windermere_2017",459805,268784,58.46
"species","Reads","vsearch","BLAST","marchamley",1570339,1543006,98.26
"species","Reads","vsearch","BLAST","ringtrial_sean",2334074,494561,21.19
"species","Reads","vsearch","BLAST","windermere_2017",537801,394054,73.27
"species","Reads","vsearch","MAPseq","marchamley",1737094,1709695,98.42
"species","Reads","vsearch","MAPseq","ringtrial_sean",2334811,493394,21.13
"species","Reads","vsearch","MAPseq","windermere_2017",538727,389939,72.38
"species","Reads","vsearch","RDP","marchamley",1737094,711755,40.97
"species","Reads","vsearch","RDP","ringtrial_sean",2334811,483908,20.73
"species","Reads","vsearch","RDP","windermere_2017",538727,207134,38.45
"species","ASV","dada2","BLAST","marchamley",130,127,97.69
"species","ASV","metabeat","BLAST","marchamley",1074,1015,94.51
"species","ASV","vsearch","BLAST","marchamley",27,23,85.19
"species","ASV","dada2","MAPseq","marchamley",133,129,96.99
"species","ASV","metabeat","MAPseq","marchamley",1309,1266,96.72
"species","ASV","vsearch","MAPseq","marchamley",30,26,86.67
"species","ASV","metabeat","MetaBEAT","marchamley",1051,765,72.79
"species","ASV","dada2","RDP","marchamley",133,64,48.12
"species","ASV","metabeat","RDP","marchamley",1294,817,63.14
"species","ASV","vsearch","RDP","marchamley",30,20,66.67
"species","ASV","dada2","BLAST","ringtrial_sean",85,37,43.53
"species","ASV","metabeat","BLAST","ringtrial_sean",507,196,38.66
"species","ASV","vsearch","BLAST","ringtrial_sean",56,32,57.14
"species","ASV","dada2","MAPseq","ringtrial_sean",88,34,38.64
"species","ASV","metabeat","MAPseq","ringtrial_sean",557,252,45.24
"species","ASV","vsearch","MAPseq","ringtrial_sean",68,43,63.24
