"input" "filtered" "denoisedF" "denoisedR" "merged" "nochim"
"RR-RT13-AM914-E8_S373" 128367 123452 123354 123366 122747 118992
"RR-RT14-AM917-F8_S374" 151703 139036 138996 139007 136992 136962
"RR-RT15-AM919-G8_S375" 282160 266292 266234 266241 265182 264871
"RR-RT18-AM930-B9" 107930 98419 98400 98398 97800 97781
"RR-RT3-AM892-C7_S363" 134007 92542 92470 92437 91682 90473
"RR-RT4-AM893-D7_S364" 220574 211049 211019 210999 210271 210088
"RR-RT5-AM896-E7_S365" 185827 178060 178023 178029 177560 176399
"RR-RT6-AM899-F7_S366" 278724 265873 265818 265836 265180 264215
"RT-MZebraA-G3" 196846 187428 187344 187325 186671 184884
"RT-MZebraB-H3" 150862 143021 142992 142973 142082 140669
"RT1-AM885-A1_S97" 1517504 5780 5718 5481 3323 3118
"RT10-AM908-B2_S34" 519996 476151 475219 475590 382625 377949
"RT11-AM910-C2_S35" 1420728 1343252 1341658 1342537 1300935 1286218
"RT17-AM926-A3_S41" 451817 414710 413592 414088 317408 313029
"RT19-AM933-C3_S43" 979247 921415 920598 920647 872535 860056
"RT2-AM890-B1_S314" 23780 17121 17096 17113 15602 15460
"RT20-AM936-D3_S44" 141256 128115 127909 127852 107517 107337
"RT7-AM901-G1_S31" 6222 4924 4909 4913 2 2
"RT8-AM902-H1_S104" 208787 1286 1048 1093 138 138
