"","input","filtered","denoisedF","denoisedR","merged","nochim"
"SRR11949830",61079,60246,60168,60157,59790,56920
"SRR11949831",1674,1622,1615,1615,1611,1611
"SRR11949832",126162,124452,124344,124375,123976,122084
"SRR11949833",3099,1619,1596,1599,1572,1572
"SRR11949834",335,211,205,203,195,195
"SRR11949835",40526,40504,40501,40485,40483,40483
"SRR11949836",41080,41061,41044,41023,41002,41002
"SRR11949837",629,609,594,593,587,587
"SRR11949838",113,94,92,92,92,92
"SRR11949839",31158,30896,30765,30685,30332,29937
"SRR11949840",21559,21259,21107,21103,20738,20515
"SRR11949841",33357,32727,32611,32523,32128,31641
"SRR11949842",34469,33888,33686,33693,33104,32731
"SRR11949843",134529,129326,128985,129006,128122,126928
"SRR11949844",26509,26047,25923,25883,25056,24995
"SRR11949845",32302,31517,31372,31329,30676,30546
"SRR11949846",38527,37981,37890,37867,37429,37094
"SRR11949847",27738,27406,27255,27237,26564,26190
"SRR11949848",39179,38840,38723,38708,38224,37850
"SRR11949849",25926,25418,25406,25408,25398,25398
"SRR11949850",148,121,114,112,106,106
"SRR11949851",34,3,1,2,0,0
"SRR11949852",37551,35170,35053,35054,34780,33845
"SRR11949853",900,584,574,573,571,571
"SRR11949854",8947,8038,7995,7996,7939,7939
"SRR11949855",175530,46369,46089,45958,45307,45296
"SRR11949856",11192,10157,10114,10121,9976,9976
"SRR11949857",68671,51058,50683,50701,49867,49615
"SRR11949858",372,35,31,30,30,30
"SRR11949859",81242,78136,78027,78029,77530,77403
"SRR11949860",71736,68447,68360,68323,68047,67761
"SRR11949861",247,83,78,76,73,73
"SRR11949862",75637,68098,67993,68011,67658,67514
"SRR11949863",42814,37978,37837,37876,37624,37564
"SRR11949864",62036,59404,59293,59284,59041,58905
"SRR11949865",142103,139540,139345,139436,138441,134236
"SRR11949866",65584,62620,62571,62543,62393,62302
"SRR11949867",34687,33775,33721,33735,33570,33200
"SRR11949868",90924,88213,88105,88120,87707,86480
"SRR11949869",67858,66371,66320,66296,66075,65879
"SRR11949870",43109,41704,41642,41615,41522,41348
"SRR11949871",60473,59493,59443,59450,59310,58956
"SRR11949872",46186,44966,44915,44878,44736,44736
"SRR11949873",30816,30150,30122,30113,30015,29980
"SRR11949874",47982,46653,46587,46554,46424,46330
"SRR11949875",34127,32693,32629,32628,32512,32476
"SRR11949876",448,227,211,215,203,203
"SRR11949877",40669,39578,39515,39510,39392,39334
"SRR11949878",56208,54989,54959,54934,54700,54492
"SRR11949879",46247,45111,45043,45053,44884,44659
"SRR11949880",983,615,606,606,599,599
"SRR11949881",169,87,79,84,78,78
"SRR11949882",332,202,193,192,184,184
"SRR11949883",1866,1725,1723,1720,1716,1716
"SRR11949884",640,570,567,563,563,563
"SRR11949886",53616,49916,49801,49729,49279,48377
"SRR11949887",71504,70614,70573,70497,70191,66992
"SRR11949888",871,652,650,650,650,650
"SRR11949889",54430,47626,47295,47268,46606,46565
"SRR11949890",9879,7717,7674,7668,7558,7558
"SRR11949891",110884,100685,100309,100127,99031,97991
"SRR11949892",1147,551,527,524,508,508
"SRR11949893",33662,32325,32225,32285,32063,31440
"SRR11949894",46,9,5,4,0,0
"SRR11949895",83738,78828,78644,78658,78137,78058
"SRR11949896",7189,4041,3995,3974,3906,3906
"SRR11949897",81153,65055,64819,64847,64359,62997
"SRR11949898",1067,1024,1014,1022,1013,1008
"SRR11949899",1153,1100,1098,1097,1092,1092
"SRR11949900",50036,48612,48554,48509,48259,46550
"SRR11949901",1902,1620,1610,1614,1602,1602
"SRR11949902",84669,73392,73021,72973,72156,71645
"SRR11949903",9691,3393,3364,3347,3290,3290
"SRR11949904",115073,98816,98516,98454,97703,95006
"SRR11949905",1866,698,684,691,662,662
"SRR11949906",64812,64015,63997,63968,63945,63945
"SRR11949907",723,703,702,697,690,690
"SRR11949908",183,175,172,169,161,161
"SRR11949909",116373,91578,91366,91337,90467,89810
"SRR11949910",191469,188926,188865,188813,188475,185973
"SRR11949911",5926,5693,5690,5686,5685,5685
"SRR11949912",119907,112267,112099,112056,111418,111077
"SRR11949913",7276,6270,6212,6214,6131,6131
"SRR11949914",112765,110082,110018,109888,109416,107771
"SRR11949915",1132,1062,1046,1045,1029,1029
"SRR11949916",157303,153932,153806,153755,152814,148621
"SRR11949917",2520,2387,2381,2378,2362,2362
"SRR11949918",157932,152924,152786,152760,152347,151307
"SRR11949919",6175,5659,5624,5625,5539,5539
"SRR11949920",15847,14952,14923,14919,14833,14833
"SRR11949921",75814,73593,73447,73387,72904,71956
"SRR11949922",1299,286,269,267,246,246
"SRR11949923",89059,87536,87435,87417,86864,84290
"SRR11949924",106,88,83,86,83,83
"SRR11949925",108176,105001,104870,104853,104323,103763
"SRR11949926",9817,8990,8969,8966,8950,8950
"SRR11949927",41245,39886,39837,39829,39690,39343
"SRR11949928",24073,21153,21076,21055,20720,20720
