"","input","filtered","denoisedF","denoisedR","merged","nochim"
"RR-RT13-AM914-E8_S373",128367,123452,123418,123425,123001,118967
"RR-RT14-AM917-F8_S374",151696,139033,138998,139025,137028,136929
"RR-RT15-AM919-G8_S375",282150,266286,266243,266256,265249,264751
"RR-RT18-AM930-B9",107925,98414,98394,98399,97812,97790
"RR-RT3-AM892-C7_S363",134006,92541,92500,92496,91853,90390
"RR-RT4-AM893-D7_S364",220574,211049,211019,211030,210357,210027
"RR-RT5-AM896-E7_S365",185827,178060,178025,178051,177594,176346
"RR-RT6-AM899-F7_S366",278724,265873,265817,265855,265225,264072
"RT-MZebraA-G3",196841,187426,187327,187307,186657,184867
"RT-MZebraB-H3",150854,143019,142970,142979,142070,140653
"RT1-AM885-A1_S97",1517423,5777,5733,5473,3309,3104
"RT10-AM908-B2_S34",519912,476103,475240,475588,382711,377836
"RT11-AM910-C2_S35",1420680,1343228,1341648,1342385,1301028,1285982
"RT17-AM926-A3_S41",451681,414636,413498,414146,317601,312981
"RT19-AM933-C3_S43",979112,921340,920514,920651,872614,860121
"RT2-AM890-B1_S314",23774,17117,17099,17111,15613,15452
"RT20-AM936-D3_S44",141133,128028,127842,127792,107608,107259
"RT7-AM901-G1_S31",6222,4924,4907,4913,2,2
"RT8-AM902-H1_S104",208555,1283,1050,1091,133,133
