"","input","filtered","denoisedF","denoisedR","merged","nochim"
"riaz_EA_1",2e+05,182401,182396,182392,181974,181973
"riaz_EA_10",2e+05,182001,181997,181994,181173,181173
"riaz_EA_2",2e+05,181602,181599,181593,180779,180779
"riaz_EA_3",2e+05,182001,181996,181997,181969,181969
"riaz_EA_4",2e+05,182800,182798,182795,182379,182378
"riaz_EA_5",2e+05,182000,181995,181993,181575,181575
"riaz_EA_6",2e+05,182001,181995,181998,181982,181980
"riaz_EA_7",2e+05,181600,181599,181590,181183,181181
"riaz_EA_8",2e+05,182401,182398,182393,181972,181971
"riaz_EA_9",2e+05,182401,182399,182390,181979,181976
