"","input","filtered","denoisedF","denoisedR","merged","nochim"
"WOF01",52417,52120,52054,51805,51574,51567
"WOF02",31539,31425,31378,31266,31093,31090
"WOF03",13668,13234,13190,13140,13049,13036
"WOF04",5800,4980,4960,4951,4849,4849
"WOF05",14601,14174,14134,14106,14023,14023
"WOF06",6298,6272,6263,6213,6146,6146
"WOF07",10497,10393,10375,10338,10160,10160
"WOF08",10960,10871,10847,10790,10746,10746
"WOF09",5602,5514,5501,5489,5431,5431
"WOF10",2879,2862,2847,2842,2813,2813
"WOF11",2604,2574,2559,2553,2525,2525
"WOF12",3450,3326,3314,3285,3260,3260
"WOF13",116,108,104,102,101,101
"WOF14",625,614,611,609,602,602
"WOF15",4681,4675,4655,4635,4609,4609
"WOF16",2066,2000,1990,1982,1921,1921
"WOF17",2654,2530,2510,2496,2446,2446
"WOF18",4292,4015,3989,3984,3876,3876
"WOF19",105,103,101,101,97,97
"WOF20",6928,6687,6647,6630,6246,6246
"WOF21",19482,19051,19012,18950,18554,18554
"WOF22",12757,12314,12279,12248,12011,12011
"WOF23",6539,6424,6403,6372,6138,6130
"WOF24",9225,9086,9056,9064,8387,8387
"WOF25",21964,20302,20249,20177,19835,19835
"WOF26",50244,49510,49437,49336,48836,48836
"WOF27",30986,30721,30641,30511,29984,29984
"WOF28",19950,17891,17830,17778,17183,17183
"WOF29",13272,11624,11578,11544,11035,11035
"WOF30",8082,7076,7031,6998,6145,6118
"WOF31",17409,15836,15771,15739,14626,14626
"WOF32",7184,7021,6981,6950,6851,6851
"WOF33",9166,8939,8889,8850,8569,8568
"WOF34",6017,5756,5722,5699,5490,5490
"WOF35",5050,4832,4813,4797,4636,4636
"WOF36",6196,5969,5943,5919,5731,5731
"WOF37",6072,5546,5520,5497,5282,5282
"WOF38",6215,5819,5800,5785,5684,5684
"WOF39",3485,3399,3392,3371,3330,3330
"WOF40",1904,1876,1873,1859,1817,1817
"WOF41",2753,2702,2696,2676,2600,2600
"WOF42",6397,6371,6359,6338,6319,6317
"WOF43",3563,3521,3515,3504,3486,3486
"WOF44",4170,4003,3984,3968,3959,3959
"WOF45",2816,2795,2776,2767,2721,2721
"WOF46",2741,2726,2708,2699,2666,2666
"WOF47",2878,2706,2694,2682,2625,2625
"WOF48",12225,12087,12056,12017,11956,11956
"WOF49",10014,9861,9829,9813,9719,9699
"WOF50",9839,9678,9637,9638,9529,9529
"WOFB1",28,19,14,12,12,12
"WOFB2",42,36,29,27,26,26
"WOFB3",400,400,397,397,395,395
"WSH01",555,553,548,549,543,543
"WSH02",8992,8927,8900,8879,8834,8787
"WSH03",9287,9222,9197,9162,9105,9105
"WSH04F1",13169,11868,11853,11822,11740,11700
"WSH05",7621,7387,7370,7318,7247,7240
"WSH06",13299,13071,13037,12982,12890,12890
"WSH07",1423,1408,1403,1398,1386,1386
"WSH08F1",49421,49230,49177,48990,48786,48715
"WSH09",111401,111038,110961,110911,110679,110089
"WSH10",17461,17347,17296,17207,17084,17075
"WSH11F1",20650,20566,20524,20438,20286,20286
"WSH12F1",385,385,383,382,377,377
"WSH13",48004,47811,47763,47636,47426,47254
"WSH14",25229,25023,24983,24867,24705,24631
"WSH15",62134,61899,61836,61685,61382,61255
"WSH16",42083,41766,41684,41454,41105,41103
"WSH17F1",76656,76463,76351,76077,75498,75337
"WSH18F1",22709,22279,22221,22112,21857,21857
"WSH19F1",131274,130629,130569,130235,129672,129571
"WSH20",72480,71409,71307,70911,70509,70506
"WSH21",42720,42448,42398,42211,41993,41652
"WSH22",18899,18830,18785,18746,18610,18557
"WSH23",73790,73535,73448,73203,72605,71140
"WSH24",81925,81746,81627,81284,80869,79895
"WSH25",58993,58421,58328,58066,57811,57713
"WSH26",14140,14067,14008,13933,13756,13735
"WSH27",43073,42610,42550,42376,42042,41971
"WSH28F1",17568,17467,17432,17369,17254,17221
"WSH29F1",7307,7199,7149,7146,7087,7080
"WSH31F1",25389,25361,25343,25292,25236,25225
"WSH32F1",10804,10777,10766,10719,10672,10672
"WSH33",4851,4776,4770,4759,4726,4726
"WSH34F1",111057,110937,110887,110787,109697,103703
"WSH35F1",45297,45165,45123,45009,44907,44771
"WSH36",75413,75173,75137,75008,74624,74131
"WSH37",58444,58232,58149,58050,57875,57751
"WSH38",12121,11855,11819,11782,11628,11615
"WSH39",8039,7609,7577,7532,7425,7368
"WSH40F1",25508,25312,25258,25200,25043,24985
"WSHB1",191,179,166,153,142,142
"WSHB2",105,105,105,101,85,85
