"","species","genus","family","class","order"
"1","na",NA,"Percidae","Teleostei","Perciformes"
"2","rutilus_rutilus","Rutilus","Cyprinidae","Teleostei","Cypriniformes"
"3","phoxinus_phoxinus","Phoxinus","Cyprinidae","Teleostei","Cypriniformes"
"4","na",NA,"Cottidae","Teleostei","Perciformes"
"5","salmo_trutta","Salmo","Salmonidae","Teleostei","Salmoniformes"
"6","na",NA,"Cyprinidae","Teleostei","Cypriniformes"
"7","esox_lucius","Esox","Esocidae","Teleostei","Esociformes"
"8","anguilla_anguilla","Anguilla","Anguillidae","Teleostei","Anguilliformes"
"9","gasterosteus_aculeatus","Gasterosteus","Gasterosteidae","Teleostei","Perciformes"
"10","sardina_pilchardus","Sardina","Alosidae","Teleostei","Clupeiformes"
"11","na",NA,NA,"Teleostei",NA
"12","abramis_brama","Abramis","Cyprinidae","Teleostei","Cypriniformes"
"13","barbatula_barbatula","Barbatula","Nemacheilidae","Teleostei","Cypriniformes"
"14","na","Scomber","Scombridae","Teleostei","Scombriformes"
"15","na",NA,"Gasterosteidae","Teleostei","Perciformes"
"16","salvelinus_fontinalis","Salvelinus","Salmonidae","Teleostei","Salmoniformes"
"17","cyprinus_carpio","Cyprinus","Cyprinidae","Teleostei","Cypriniformes"
"18","na",NA,"Salmonidae","Teleostei","Salmoniformes"
"19","oncorhynchus_mykiss","Oncorhynchus","Salmonidae","Teleostei","Salmoniformes"
"20","salmo_salar","Salmo","Salmonidae","Teleostei","Salmoniformes"
"21","na",NA,"Alosidae","Teleostei","Clupeiformes"
"22","na",NA,NA,"Teleostei","Cypriniformes"
"23","na",NA,"Sparidae","Teleostei","Eupercaria incertae sedis"
"24","gymnocephalus_cernua","Gymnocephalus","Percidae","Teleostei","Perciformes"
"25","mullus_surmuletus","Mullus","Mullidae","Teleostei","Mulliformes"
"26","na",NA,"Clupeidae","Teleostei","Clupeiformes"
"27","osmerus_eperlanus","Osmerus","Osmeridae","Teleostei","Osmeriformes"
"28","alosa_fallax","Alosa","Alosidae","Teleostei","Clupeiformes"
"29","sparus_aurata","Sparus","Sparidae","Teleostei","Eupercaria incertae sedis"
"30","na","Salmo","Salmonidae","Teleostei","Salmoniformes"
"31","cottus_gobio","Cottus","Cottidae","Teleostei","Perciformes"
"32","na",NA,NA,"Teleostei","Perciformes"
"33","na","Salvelinus","Salmonidae","Teleostei","Salmoniformes"
"34","na",NA,NA,"Teleostei","Clupeiformes"
"35","na",NA,"Gadidae","Teleostei","Gadiformes"
"36","na","Scophthalmus","Scophthalmidae","Teleostei","Pleuronectiformes"
"37","na",NA,"Engraulidae","Teleostei","Clupeiformes"
"38","na","Carassius","Cyprinidae","Teleostei","Cypriniformes"
"39","carassius_carassius","Carassius","Cyprinidae","Teleostei","Cypriniformes"
"40","scomber_scombrus","Scomber","Scombridae","Teleostei","Scombriformes"
"41","pungitius_pungitius","Pungitius","Gasterosteidae","Teleostei","Perciformes"
"42","na","Coregonus","Salmonidae","Teleostei","Salmoniformes"
"43","na","Oncorhynchus","Salmonidae","Teleostei","Salmoniformes"
"44","na",NA,"Tincidae","Teleostei","Cypriniformes"
"45","tinca_tinca","Tinca","Tincidae","Teleostei","Cypriniformes"
"46","na",NA,"Carapidae","Teleostei","Ophidiiformes"
"47","perca_fluviatilis","Perca","Percidae","Teleostei","Perciformes"
"48","lampetra_fluviatilis","Lampetra","Petromyzontidae","Petromyzontida","Petromyzontiformes"
"49","na","Gasterosteus","Gasterosteidae","Teleostei","Perciformes"
"50","na","Alectis","Carangidae","Teleostei","Carangiformes"
"51","na","Cottus","Cottidae","Teleostei","Perciformes"
"52","alosa_alosa","Alosa","Alosidae","Teleostei","Clupeiformes"
"53","na",NA,NA,"Teleostei","Pleuronectiformes"
"54","alburnus_alburnus","Alburnus","Cyprinidae","Teleostei","Cypriniformes"
"55","lota_lota","Lota","Lotidae","Teleostei","Gadiformes"
"56","na",NA,"Liparidae","Teleostei","Perciformes"
"57","scardinius_erythrophthalmus","Scardinius","Cyprinidae","Teleostei","Cypriniformes"
"58","chondrostoma_nasus","Chondrostoma_<genus>","Cyprinidae","Teleostei","Cypriniformes"
"59","na","Phoxinus","Cyprinidae","Teleostei","Cypriniformes"
