"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"species","row","dada2","BLAST","marchamley",3917,2995,76.46
"species","row","metabeat","BLAST","marchamley",12695,8873,69.89
"species","row","vsearch","BLAST","marchamley",2346,1749,74.55
"species","row","dada2","mapseq","marchamley",1707,288,16.87
"species","row","metabeat","mapseq","marchamley",10512,2650,25.21
"species","row","vsearch","mapseq","marchamley",1349,244,18.09
"species","row","dada2","RDP","marchamley",5225,4203,80.44
"species","row","metabeat","RDP","marchamley",16470,9537,57.91
"species","row","vsearch","RDP","marchamley",3262,2440,74.8
"species","row","dada2","BLAST","ringtrial_sean",527,256,48.58
"species","row","vsearch","BLAST","ringtrial_sean",355,184,51.83
"species","row","dada2","mapseq","ringtrial_sean",487,76,15.61
"species","row","vsearch","mapseq","ringtrial_sean",356,40,11.24
"species","row","dada2","RDP","ringtrial_sean",607,267,43.99
"species","row","vsearch","RDP","ringtrial_sean",429,203,47.32
"species","row","dada2","BLAST","windermere_2017",1767,1137,64.35
"species","row","metabeat","BLAST","windermere_2017",11820,7321,61.94
"species","row","vsearch","BLAST","windermere_2017",1381,853,61.77
"species","row","dada2","mapseq","windermere_2017",2100,301,14.33
"species","row","metabeat","mapseq","windermere_2017",14685,4521,30.79
"species","row","vsearch","mapseq","windermere_2017",1808,240,13.27
"species","row","dada2","RDP","windermere_2017",2537,1330,52.42
"species","row","metabeat","RDP","windermere_2017",15829,7160,45.23
"species","row","vsearch","RDP","windermere_2017",2019,969,47.99
"species","ASV","dada2","BLAST","marchamley",2190,1698,77.53
"species","ASV","metabeat","BLAST","marchamley",5119,3646,71.22
"species","ASV","vsearch","BLAST","marchamley",1121,841,75.02
"species","ASV","dada2","mapseq","marchamley",294,62,21.09
"species","ASV","metabeat","mapseq","marchamley",2423,496,20.47
"species","ASV","vsearch","mapseq","marchamley",133,13,9.77
"species","ASV","dada2","RDP","marchamley",2751,2561,93.09
"species","ASV","metabeat","RDP","marchamley",7118,5623,79
"species","ASV","vsearch","RDP","marchamley",1423,1350,94.87
"species","ASV","dada2","BLAST","ringtrial_sean",238,141,59.24
"species","ASV","vsearch","BLAST","ringtrial_sean",144,89,61.81
"species","ASV","dada2","mapseq","ringtrial_sean",180,27,15
"species","ASV","vsearch","mapseq","ringtrial_sean",118,10,8.47
"species","ASV","dada2","RDP","ringtrial_sean",279,157,56.27
"species","ASV","vsearch","RDP","ringtrial_sean",180,112,62.22
"species","ASV","dada2","BLAST","windermere_2017",460,338,73.48
"species","ASV","metabeat","BLAST","windermere_2017",3668,2241,61.1
"species","ASV","vsearch","BLAST","windermere_2017",251,176,70.12
