"","taxa","dataset","source","source2","taxa_name_clean","AphiaID_worms","species_worms","valid_name_worms","status_worms","rank_worms","citation_worms","isExtinct_worms","kingdom_worms","phylum_worms","class_worms","order_worms","family_worms","genus_worms","marine","brackish","freshwater","terrestrial"
"1","Abramis brama","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","abramis_brama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abramis brama","marchamley","Di Muri et al 2020","","abramis_brama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acipenser spp.","marchamley","Di Muri et al 2021","","acipenser",125618,NA,"Acipenser","accepted","Genus","Froese, R. and D. Pauly. Editors. (2026). FishBase. Acipenser Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125618 on 2026-07-03",FALSE,"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser",TRUE,TRUE,TRUE,FALSE
"4","Barbus barbus","marchamley","Di Muri et al 2022","","barbus_barbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Carassius carassius","marchamley","Di Muri et al 2023","","carassius_carassius",154297,"Carassius carassius","Carassius carassius","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Carassius carassius (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154297 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Carassius",FALSE,TRUE,TRUE,FALSE
"6","Ctenopharyngodon idella","marchamley","Di Muri et al 2024","","ctenopharyngodon_idella",154314,"Ctenopharyngodon idella","Ctenopharyngodon idella","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Ctenopharyngodon idella (Valenciennes, 1844). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154314 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Ctenopharyngodon",FALSE,TRUE,TRUE,FALSE
"7","Cyprinus carpio","marchamley","Di Muri et al 2025","","cyprinus_carpio",154582,"Cyprinus carpio","Cyprinus carpio","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Cyprinus carpio Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154582 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinus",FALSE,TRUE,TRUE,FALSE
"8","Cyprinus x Crucian","marchamley","Di Muri et al 2026","","cyprinus_x_crucian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Esox lucius","windermere_2017","windermere_2017 fish abundance 1940-2012 - National Data Library","DNA based monitoring: method for fish in lakes - GOV.UK","esox_lucius",154210,"Esox lucius","Esox lucius","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Esox lucius Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154210 on 2026-07-03",FALSE,"Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox",FALSE,TRUE,TRUE,FALSE
"10","Perca fluviatilis","marchamley","Di Muri et al 2026","","perca_fluviatilis",151353,"Perca fluviatilis","Perca fluviatilis","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Perca fluviatilis Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=151353 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca",FALSE,TRUE,TRUE,FALSE
"11","Perca fluviatilis","windermere_2017","windermere_2017 fish abundance 1940-2012 - National Data Library","","perca_fluviatilis",151353,"Perca fluviatilis","Perca fluviatilis","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Perca fluviatilis Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=151353 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca",FALSE,TRUE,TRUE,FALSE
"12","Rutilus rutilus","marchamley","Di Muri et al 2026","","rutilus_rutilus",154333,"Rutilus rutilus","Rutilus rutilus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Rutilus rutilus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154333 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rutilus",FALSE,TRUE,TRUE,FALSE
"13","Rutilus rutilus","windermere_2017","windermere_2017 fish abundance 1940-2012 - National Data Library","","rutilus_rutilus",154333,"Rutilus rutilus","Rutilus rutilus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Rutilus rutilus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154333 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rutilus",FALSE,TRUE,TRUE,FALSE
"14","Rutilus x Abramis","marchamley","Di Muri et al 2026","","rutilus_x_abramis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Salvelinus alpinus","windermere_2017","windermere_2017 fish abundance 1940-2012 - National Data Library","DNA based monitoring: method for fish in lakes - GOV.UK","salvelinus_alpinus",127188,"Salvelinus alpinus","Salvelinus alpinus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Salvelinus alpinus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127188 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",TRUE,TRUE,TRUE,FALSE
"16","Scardinius erythrophthalmus","marchamley","Di Muri et al 2026","","scardinius_erythrophthalmus",154165,"Scardinius erythrophthalmus","Scardinius erythrophthalmus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Scardinius erythrophthalmus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154165 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Scardinius",FALSE,TRUE,TRUE,FALSE
"17","Silurus glanis","marchamley","Di Muri et al 2026","","silurus_glanis",154677,"Silurus glanis","Silurus glanis","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Silurus glanis Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154677 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Siluriformes","Siluridae","Silurus",FALSE,TRUE,TRUE,FALSE
"18","Squalius cephalus","marchamley","Di Muri et al 2026","","squalius_cephalus",282855,"Squalius cephalus","Squalius cephalus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Squalius cephalus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282855 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Squalius",FALSE,TRUE,TRUE,FALSE
"19","Tinca tinca","marchamley","Di Muri et al 2026","","tinca_tinca",154343,"Tinca tinca","Tinca tinca","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Tinca tinca (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154343 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Tincidae","Tinca",FALSE,TRUE,TRUE,FALSE
"20","Salmo salar","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","salmo_salar",127186,"Salmo salar","Salmo salar","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Salmo salar Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127186 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",TRUE,TRUE,TRUE,FALSE
"21","Salmo trutta","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","salmo_trutta",127187,"Salmo trutta","Salmo trutta","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Salmo trutta Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127187 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",TRUE,TRUE,TRUE,FALSE
"22","Cottus gobio","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","cottus_gobio",127196,"Cottus gobio","Cottus gobio","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Cottus gobio Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127196 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Cottus",FALSE,TRUE,TRUE,FALSE
"23","Anguilla anguilla","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","anguilla_anguilla",126281,"Anguilla anguilla","Anguilla anguilla","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Anguilla anguilla (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126281 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla",TRUE,TRUE,TRUE,FALSE
"24","Phoxinus phoxinus","windermere_2017","DNA based monitoring: method for fish in lakes - GOV.UK","","phoxinus_phoxinus",154326,"Phoxinus phoxinus","Phoxinus phoxinus","accepted","Species","Froese, R. and D. Pauly. Editors. (2026). FishBase. Phoxinus phoxinus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154326 on 2026-07-03",NA,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Phoxinus",FALSE,TRUE,TRUE,FALSE
